CC1(C)C(=O)NC1S(=O)(=O)C1=CC=CC=C1
CC1C(=O)NC1S(=O)(=O)C1=CC=CC=C1
OC1=CC=CC(O)=C1
C(=CC1=CC=NC=C1)C1=CC=NC=C1
C1=NC=CC(C2C(C3=CC=NC=C3)C(C3=CC=NC=C3)C2C2=CC=NC=C2)=C1
COC1=CC(O)=CC(O)=C1
C(=CC1=CC=CC=N1)C1=CC=CC=N1
NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C21
OC1=CC=C(O)C=C1
NC(=O)CN1CCCC1=O
O=C1C(O)=C(Cl)C(=O)C(O)=C1Cl
C(#CC1=CC=CC=N1)C1=CC=CC=N1
NC(=O)C1=CC=CN=C1
O=C(O)C1=CC2=CC=CC=C2C=C1O
O=C(O)C1=CC([N+](=O)[O-])=CC([N+](=O)[O-])=C1
C1=CC=C2C(=C1)C=CC1=CC=C3C=CC4=CC=C5C=CC=CC5=C4C3=C12
N#CC(C#N)=C1C=CC(=C(C#N)C#N)C=C1
O=C(O)C1=CC(C(=O)O)=CC([N+](=O)[O-])=C1
C1=CC=C2C(=C1)C=CC1=CC=CC=C12
CC(=O)C=C(C)O
CC1=C(C2=C(C)C=C3C(C(C)C)=C(O)C(O)=C(C=O)C3=C2O)C(O)=C2C(C=O)=C(O)C(O)=C(C(C)C)C2=C1
COC(=O)N1C=NC(C(N)=O)=C1N
CN1N=NC2=C(C(N)=O)N=CN2C1=O
NC1=CC=CC=C1C(=O)O
O=C(O)C(O)C(O)C(=O)O
O=C(O)C(=O)O
O=C(O)C1=CC=CC=C1O
C1=CC2=CC=CC3=C2C(=C1)CC3
O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl
C1COCCOCCOCCOCCOCCOCCOCCO1
BrC1=CC=C(Br)C2=C1N=C(C1=CC=C(C3=NC4=C(Br)C=CC(Br)=C4N3)C=C1)N2
O=C(O)C1=CC=CC2=CC=CC(C(=O)O)=C12
O=C1C=CC=CN1
O=C(O)C1CC1
NC(=O)C1=CC=NC=C1
O=C(O)C1CCC1
O=C(O)C1CCCCC1
NC(=O)C1=CN=CC=N1
O=C(O)C1=CC(O)=CC(O)=C1
COC1=CC(C=CC(=O)O)=CC=C1O
C1=NC=CC(CCC2=CC=NC=C2)=C1
OC1=CC=C(Cl)C(O)=C1
N#CC1=CC=C(C(=O)O)C=C1
NNC(=O)C1=CC=NC=C1
NC1=CC=C(C(=O)O)C=C1
O=C(O)C1=CC=C([N+](=O)[O-])C=C1
C1CCC(NC2CCCCC2)CC1
ON=C1CCCCC1
O=C1NC(=O)N(C2OC(CO)C(O)C2O)C=C1Br
NC1=NC=NC2=C1N=CN2C1OC(CO)C(O)C1O
O=C1NS(=O)(=O)C2=CC=CC=C12
O=C(O)C1=CC=C(O)C=C1
CC1=CC(C)=NC(N)=N1
CCN1C=NC2=C1N=CN=C2N
CSCOC(=O)C1(C)CC2(C)CC(C)(C1)C(=O)NC2=O
C=CC1(C)CCC2C(=CCC3C(C)(CO)C(O)CCC23C)C1
CC12CC34CCC5C(C)(CO)C(O)CCC5(C)C3CC1C2C4
O=C1NC=C(Br)C(=O)N1
CN(C)C1=CC=C(N=NC2=CC=CC=C2C(=O)O)C=C1
O=C(O)C1=CC(C(=O)O)=CC(C(=O)O)=C1
CC1=CC(=O)NC(=O)N1C
CC1=NC(N)=NC(N)=N1
CC(C1=CC=C(O)C=C1)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
C1=CC=C(C2=CC=CC=N2)N=C1
CN1C(=O)C2=C(N=CN2C)N(C)C1=O
O=C(O)C1=CC(F)=C(F)C(F)=C1F
O=C(O)C1=C(F)C=CC=C1F
O=C(O)C1=CC(F)=CC=C1F
O=C(O)C1=CC=CC(F)=C1F
O=C(O)C1=CC=CC(F)=C1
O=C(O)C1=CC=CC=C1F
O=C(O)C1=CC=CC=C1
O=[N+]([O-])C1=CC=C(O)C=C1
C1CNCCN1
CNNC(=O)C1=CC([N+](=O)[O-])=CC=C1O
C[NH2+]NC(=O)C1=CC([N+](=O)[O-])=CC=C1[O-]
CC1=CC=CC(NC2=CC=CC=C2C(=O)O)=C1C
C1=CC(N=NC2=CC=NC=C2)=CC=N1
C1=NC=CC(CCCC2=CC=NC=C2)=C1
COC1=CC=C2C=C(C(C)C(=O)O)C=CC2=C1
NNC(=O)C1=C(O)C2=CC=CC=C2S(=O)(=O)N1
NNC(=O)C(=O)NN
CC1=NNC(C=NC2=CC=CC=C2O)=C1
CC1=CC(C=NC2=CC=CC=C2O)=NN1
NC1=CC=CC2=CC=CC(N)=C12
C1=CN=C(C2=NC3=CC=CC4=CC=CC(=C34)N2)N=C1
O=C(O)C=CC1=CC=CC=C1
C1=CC=C2C(=C1)C1=CC=CC=C1N2C1=CC=C(C2=CC=C(N3C4=CC=CC=C4C4=CC=CC=C43)C=C2)C=C1
N#CC1=CC(C#N)=C(C#N)C=C1C#N
O=C1C2=C(C(=O)C3=C([N+](=O)[O-])C=CC=C13)C([N+](=O)[O-])=CC=C2
C1=CC2=CC=C3C=CC=C4C=CC(=C1)C2=C34
O=C(O)CC1=CC=CC=C1
O=C(O)CC1=CC=C(Cl)C=C1
O=C(O)CC1=CC=CC2=CC=CC=C12
O=C(O)CC1=CC=C2C=CC=CC2=C1
C1CSCCN1
FC1=C(F)C(I)=C(F)C(F)=C1I
C1CCNCC1
O=C1C(=O)C2=CC=CC=C2C2=CC=CC=C12
NC(N)=S
O=C1CNC(=O)CN1
C#CC(=O)O
OC1=CC(Cl)=C(O)C=C1Cl
O=C(O)C1=CC(O)=CC=C1O
O=C(O)C1=CC(Cl)=CC=C1O
O=C(O)C=CC(=O)O
O=C(O)C1=CC(O)=C(C(=O)O)C=C1O
O=C(O)C1=CC(Cl)=C(C(=O)O)C=C1Cl
O=C1C=C(O)C(=O)C=C1O
CCCC=CC(=O)O
NC(=O)C1=CC=C(Cl)C=C1
CN(C)C1=CC=CC(C(=O)O)=C1
O=C1C=CC2=CC=CC=C2C1=CNC1=CC=C(OC2=CC=C(NC=C3C(=O)C=CC4=CC=CC=C34)C=C2)C=C1
O=C1C=CC2=CC=CC=C2C1=CNC1=CC=C(OC2=CC=C(N=CC3=C4C=CC=CC4=CC=C3O)C=C2)C=C1
O=C(NCC1=CC=NC=C1)C(=O)NCC1=CC=NC=C1
O=C(O)C1=CC=CC=C1N=NC1=CC=C(O)C=C1
CC(C)C(=O)NC1=CC=CC(NC(=O)C(C)C)=N1
CN(C)C1=CC=C(C#CC2(C)CC3(C)CC(C)(C2)C(=O)NC3=O)C=C1
C#CC1(C)CC2(C)CC(C)(C1)C(=O)NC2=O
CC1(C#CC2=CC=C(C3=CN=CC=N3)C=C2)CC2(C)CC(C)(C1)C(=O)NC2=O
CC1(C#CC2=CC=C(C3=CN=CN=C3)C=C2)CC2(C)CC(C)(C1)C(=O)NC2=O
CC1(C#CC2=CC=CC=C2)CC2(C)CC(C)(C1)C(=O)NC2=O
CCC1=CC(NC(=O)C(C)C)=NC(NC(=O)C(C)C)=C1
NC(=S)C(N)=S
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1
C1COCCOCCOCCOCCOCCO1
NC(=S)NNC(N)=S
C1COCCOCCOCCO1
CC1=C(C)N(C)C(=NN=C2SC(C)=C(C)N2C)S1
CC(=NN=C1SC(C)=C(C)N1C)C(C)=NN=C1SC(C)=C(C)N1C
O=C1CN(N=CC2=CC=C([N+](=O)[O-])O2)C(=O)N1
CC(=O)NC1=CC=CC(NC(C)=O)=N1
O=P(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
NC(=S)C1=CC=CC=C1
C1=CC2=C3C(=C1)C=CC=C3C1=CC=CC3=CC=CC2=C31
N#CC(C#N)=C1C(F)=C(F)C(=C(C#N)C#N)C(F)=C1F
O=C(O)C1=CC(O)=C(O)C(O)=C1
CC1(C)C(=O)N(I)C(=O)N1I
CC1=CC=NC=C1
C1=NC=CC(N2CCCC2)=C1
COC(=O)C1=CC=NC=C1
CN(C)C1=CC=NC=C1
O=C1C=CC(=O)N1
COC1=CC=CC(COC2=CC(=O)OC(C)=C2)=C1
OC1=CC=C2C=CC=CC2=C1C1=C(O)C=CC2=CC=CC=C12
C1=CC=C2C=NC=CC2=C1
OC1(C2=CC=CC=C2)C2=CC=CC=C2C2=CC=CC=C21
CC1CCC(N)CC1
O=C(O)C1=CC=C(C=CC2=CC=C(C(=O)O)C=C2)C=C1
C#CC#CCOC(=O)C1=CC(O)=CC(O)=C1
COC1=CC=CC(OC)=C1
N#CC(C#N)=C(C#N)C1=CC=C(C2=CC=C(C3=CC=C(C(C#N)=C(C#N)C#N)S3)N2C2=CC=CC=C2)S1
COC1=CC=C(OC)C=C1
[NH3+]C1=CC=CC=C1C(=O)[O-]
NC(=O)C1=CC=CC=C1O
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
C1=CC(C2=CC=NC=C2)=CC=N1
OC1=CC=CC2=C3C=CC=CC3=C3C=CC=CC3=C3C=CC=C(O)C3=C12
NC(=O)NC(N)=O
O=C(O)CCCC(=O)O
NC(N)=O
C1=CN=C2C(=C1)C=CC1=CC=CN=C12
CC1=CC=C2C=CC3=CC=C(C)N=C3C2=N1
O=C(O)C1CCC(C(=O)O)CC1
C1=CN(CC2=CC=C(CN3C=CN=C3)C=C2)C=N1
CC1=C(N(C)C)C(=O)N(C2=CC=CC=C2)N1C
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
CC(=CC(=O)O)C(=O)O
[O-]C1=CC=CC=C1C=[NH+]C1=CC=CC=C1
OC1=CC=C(Br)C=C1
CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2=O
CC12C=CC(=O)C=C1C=CC1C2CCC2(C)C(=O)CCC12
C1=CN=CC=N1
CNC(C)=O
OC(C1=CC=CC=C1)(C1=CC=CC=C1)C1OC2(CCCCC2)OC1C(O)(C1=CC=CC=C1)C1=CC=CC=C1
C[S+](C)CCC(=O)[O-]
O=[N+]([O-])C1=CC([N+](=O)[O-])=C(O)C([N+](=O)[O-])=C1
O=C1C(Cl)=CC(=C2C=C(Cl)C(=O)C(Cl)=C2)C=C1Cl
C1=CC=C2C=C3C=CC=CC3=CC2=C1
O=C1OC(=O)C2=CC3=C(C=C12)C(=O)OC3=O
O=[N+]([O-])C1=CC=CC=C1
OC(C#CC#CC(O)(C1=CC=CC=C1)C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
O=C1C=C2C=CC=CC2=CN1
C1CSCCS1
C1=CC=C2N=C3C=CC=CC3=NC2=C1
FC1=C(F)C(F)=C(I)C(I)=C1F
O=C(C=CC1=CC=NC=C1)C=CC1=CC=NC=C1
ClC1=CC=C(C=CC2=CC=NC=C2)C(Cl)=C1
OC1=CC(O)=C(Cl)C=C1Cl
C1=CC=C(C2=C3OCCOC3=C(C3=CC=CC=N3)S2)N=C1
C1=CC=C(C2=CC=C(C3=CC=CC=N3)S2)N=C1
OC1=CC=CC=C1O
CCCN
CCCN1C(O)=C(C#N)C(C2=CC=CC=C2)=C(C#N)C1=O
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
C=CCOC(C)=O
CC1=CC(=O)N(C2=CC=CC=C2)N1C
O=[N+]([O-])C1=CC=CC([N+](=O)[O-])=C1
CN1C2=CC=CC=C2SC2=CC=CC=C21
CC(=O)C1=CC(C(=O)C2=CC=CC=C2)=NN(C2=CC=CC=C2)C1
CC(=O)C1=NN(C2=CC=CC=C2)CC(C(=O)C2=CC=CC=C2)=C1
CC1=C[N+]([O-])=C2C=CC=CC2=C1
O=C(O)C1=CC=CC(Cl)=C1
CC1=CC=C(S(=O)(=O)[N-]C(=O)CN2CCC[NH2+]CCNCCCNCC2)C=C1
CC1=CC=C(S(N)(=O)=O)C=C1
OC1(C2=CC=CC=C2C2=CC=CC=C2C2(O)C3=CC=CC=C3C3=CC=CC=C32)C2=CC=CC=C2C2=CC=CC=C21
BrC1=CC=CN=C1
ClC1=CC=CN=C1
