Unobstructed;Orthogonal planes;H-bonds bridging;exactmw;amw;lipinskiHBA;lipinskiHBD;NumRotatableBonds;NumHBD;NumHBA;NumHeavyAtoms;NumAtoms;NumHeteroatoms;NumAmideBonds;FractionCSP3;NumRings;NumAromaticRings;NumAliphaticRings;NumSaturatedRings;NumHeterocycles;NumAromaticHeterocycles;NumSaturatedHeterocycles;NumAliphaticHeterocycles;NumSpiroAtoms;NumBridgeheadAtoms;NumAtomStereoCenters;NumUnspecifiedAtomStereoCenters;labuteASA;tpsa;CrippenClogP;CrippenMR;chi0v;chi1v;chi2v;chi3v;chi4v;chi0n;chi1n;chi2n;chi3n;chi4n;hallKierAlpha;kappa1;kappa2;kappa3;Phi;exactmw;amw;lipinskiHBA;lipinskiHBD;NumRotatableBonds;NumHBD;NumHBA;NumHeavyAtoms;NumAtoms;NumHeteroatoms;NumAmideBonds;FractionCSP3;NumRings;NumAromaticRings;NumAliphaticRings;NumSaturatedRings;NumHeterocycles;NumAromaticHeterocycles;NumSaturatedHeterocycles;NumAliphaticHeterocycles;NumSpiroAtoms;NumBridgeheadAtoms;NumAtomStereoCenters;NumUnspecifiedAtomStereoCenters;labuteASA;tpsa;CrippenClogP;CrippenMR;chi0v;chi1v;chi2v;chi3v;chi4v;chi0n;chi1n;chi2n;chi3n;chi4n;hallKierAlpha;kappa1;kappa2;kappa3;Phi
0;0;0;204,0435961;204,192;4;0;0;0;4;16;20;4;0;0;1;1;0;0;0;0;0;0;0;0;0;0;91,81216847;95,16;0,08232;54,96;8,098255459;4,215794396;1,909464044;1,909464044;1,111760091;8,098255459;4,215794396;1,909464044;1,909464044;1,111760091;-3,08;10,99739938;4,965017856;2,045581353;3,412642769;328,1252;328,414;0;0;0;0;0;26;42;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;150,8397;0;7,4526;113,972;14,2376;9,047435;5,596082;5,596082;4,40762;14,2376;9,047435;5,596082;5,596082;4,40762;-3,38;13,85979;5,060648;1,788453;2,697674
1;1;0;211,0116869;211,129;7;2;3;2;4;15;20;7;0;0;1;1;0;0;0;0;0;0;0;0;0;0;82,72577478;117,74;0,9912;47,015;7,206684756;3,676267863;1,62249424;1,62249424;0,963533778;7,206684756;3,676267863;1,62249424;1,62249424;0,963533778;-2,44;10,63961783;3,742223543;2,272877899;2,654388557;178,0783;178,234;0;0;0;0;0;14;24;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;82,79473;0;3,993;61,454;7,773503;4,815384;2,654202;2,654202;1,954807;7,773503;4,815384;2,654202;2,654202;1,954807;-1,82;7,571439;2,845084;1,007541;1,53867
0;0;1;100,0524295;100,117;2;1;1;1;2;7;15;2;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;42,46517231;37,3;1,0372;27,0668;4,432812155;2,005081212;0,412150422;0,412150422;0,294165169;4,432812155;2,005081212;0,412150422;0,412150422;0,294165169;-0,79;6,21;2,394521355;5,21;2,124282517;518,1941;518,562;8;6;5;6;8;38;68;8;0;0,266667;4;4;0;0;0;0;0;0;0;0;0;0;218,5897;155,52;6,38224;145,3058;21,96388;12,18185;7,224759;7,224759;5,60213;21,96388;12,18185;7,224759;7,224759;5,60213;-4,46;26,59874;9,131104;3,510572;6,39147
0;0;1;184,0596401;184,155;7;4;1;2;6;13;21;7;1;0,166666667;1;1;0;0;1;1;0;0;0;0;0;0;73,28138017;113,23;-0,8213;42,9603;6,85122287;3,285189168;1,409171338;1,409171338;0,791582436;6,85122287;3,285189168;1,409171338;1,409171338;0,791582436;-2,05;9,041324201;3,132908973;1,432812242;2,178895824;194,0552;194,154;8;2;1;1;7;14;20;8;1;0,166667;2;2;0;0;2;2;0;0;0;0;0;0;76,96785;108,17;-2,0781;44,5409;7,207265;3,678569;1,732211;1,732211;1,054941;7,207265;3,678569;1,732211;1,732211;1,054941;-2,25;8,352845;2,619893;0,969382;1,563111
1;1;1;137,0476785;137,138;3;3;1;2;2;10;17;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;58,09199178;63,32;0,967;37,8137;5,242213232;2,793756347;1,191198503;1,191198503;0,691772246;5,242213232;2,793756347;1,191198503;1,191198503;0,691772246;-1,51;6,60778563;2,389632707;1,074893623;1,579018067;194,0552;194,154;8;2;1;1;7;14;20;8;1;0,166667;2;2;0;0;2;2;0;0;0;0;0;0;76,96785;108,17;-2,0781;44,5409;7,207265;3,678569;1,732211;1,732211;1,054941;7,207265;3,678569;1,732211;1,732211;1,054941;-2,25;8,352845;2,619893;0,969382;1,563111
0;0;1;150,0164379;150,086;6;4;3;4;4;10;16;6;0;0,5;0;0;0;0;0;0;0;0;0;0;2;2;55,33405658;115,06;-2,1226;27,2852;4,760051501;2,282543268;0,80510447;0,80510447;0,27010171;4,760051501;2,282543268;0,80510447;0,80510447;0,27010171;-1,14;8,86;3,136253269;1,997375402;2,778720396;194,0552;194,154;8;2;1;1;7;14;20;8;1;0,166667;2;2;0;0;2;2;0;0;0;0;0;0;76,96785;108,17;-2,0781;44,5409;7,207265;3,678569;1,732211;1,732211;1,054941;7,207265;3,678569;1,732211;1,732211;1,054941;-2,25;8,352845;2,619893;0,969382;1,563111
1;0;0;89,99530854;90,034;4;2;0;2;2;6;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33,01570485;74,6;-0,8444;15,2716;2,710923772;1,105461886;0,18295376;0,18295376;0;2,710923772;1,105461886;0,18295376;0,18295376;0;-1,06;4,94;1,395522956;1,280136054;1,148980567;194,0552;194,154;8;2;1;1;7;14;20;8;1;0,166667;2;2;0;0;2;2;0;0;0;0;0;0;76,96785;108,17;-2,0781;44,5409;7,207265;3,678569;1,732211;1,732211;1,054941;7,207265;3,678569;1,732211;1,732211;1,054941;-2,25;8,352845;2,619893;0,969382;1,563111
1;1;0;194,0552234;194,154;8;2;1;1;7;14;20;8;1;0,166666667;2;2;0;0;2;2;0;0;0;0;0;0;76,96785319;108,17;-2,0781;44,5409;7,207265097;3,678568789;1,732210742;1,732210742;1,054941054;7,207265097;3,678568789;1,732210742;1,732210742;1,054941054;-2,25;8,35284506;2,619892645;0,969381544;1,563111239;138,0317;138,122;3;2;1;2;2;10;16;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;57,54633;57,53;1,0904;35,0661;5,112077;2,728688;1,134458;1,134458;0,654489;5,112077;2,728688;1,134458;1,134458;0,654489;-1,51;6,607786;2,389633;1,074894;1,579018
1;1;0;154,0782503;154,212;0;0;0;0;0;12;22;0;0;0,166666667;3;2;1;0;0;0;0;0;0;0;0;0;71,83712073;0;2,9384;51,356;6,878315178;4,445140653;2,740964657;2,740964657;2,187781683;6,878315178;4,445140653;2,740964657;2,740964657;2,187781683;-1,3;6,241943084;2,099553891;0,672266027;1,092107991;243,8652;245,876;2;0;0;0;2;12;12;6;0;0;1;0;1;0;0;0;0;0;0;0;0;0;87,71503;34,14;2,5166;47,478;8,35207;4,176035;2,818785;2,818785;1,409392;5,328354;2,664177;1,182821;1,182821;0,59141;-0,02;10,06347;3,38286;1,399539;2,836943
1;1;0;204,0435961;204,192;4;0;0;0;4;16;20;4;0;0;1;1;0;0;0;0;0;0;0;0;0;0;91,81216847;95,16;0,08232;54,96;8,098255459;4,215794396;1,909464044;1,909464044;1,111760091;8,098255459;4,215794396;1,909464044;1,909464044;1,111760091;-3,08;10,99739938;4,965017856;2,045581353;3,412642769;154,0783;154,212;0;0;0;0;0;12;22;0;0;0,166667;3;2;1;0;0;0;0;0;0;0;0;0;71,83712;0;2,9384;51,356;6,878315;4,445141;2,740965;2,740965;2,187782;6,878315;4,445141;2,740965;2,740965;2,187782;-1,3;6,241943;2,099554;0,672266;1,092108
