mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,mean_test_score,std_test_score,rank_test_score
1.5945155302683511,0.06281160317588123,0.0038551648457845053,0.0007197939532614612,0.07,2,200,0.7,"{'learning_rate': 0.07, 'max_depth': 2, 'n_estimators': 200, 'subsample': 0.7}",0.6935817805383023,0.6873706004140787,0.7018633540372671,0.7261410788381742,0.6556016597510373,0.7282157676348547,0.6742738589211619,0.6950207468879668,0.7095435684647303,0.6742738589211619,0.6873706004140787,0.6438923395445134,0.6625258799171843,0.6784232365145229,0.7282157676348547,0.7053941908713693,0.7219917012448133,0.7468879668049793,0.7095435684647303,0.6784232365145229,0.6666666666666666,0.7060041407867494,0.722567287784679,0.7261410788381742,0.7240663900414938,0.6991701244813278,0.6950207468879668,0.6887966804979253,0.6659751037344398,0.6452282157676349,0.6949397065940454,0.026328220252139954,7
1.8285954395929973,0.07735649527385575,0.0036735296249389648,0.0005055801699650658,0.07,2,200,0.8,"{'learning_rate': 0.07, 'max_depth': 2, 'n_estimators': 200, 'subsample': 0.8}",0.6935817805383023,0.6853002070393375,0.7101449275362319,0.7178423236514523,0.6639004149377593,0.7302904564315352,0.6784232365145229,0.6970954356846473,0.6991701244813278,0.6846473029045643,0.6811594202898551,0.6521739130434783,0.660455486542443,0.6784232365145229,0.7323651452282157,0.7116182572614108,0.7199170124481328,0.7344398340248963,0.6846473029045643,0.6804979253112033,0.6708074534161491,0.6997929606625258,0.7018633540372671,0.7344398340248963,0.7282157676348547,0.6887966804979253,0.6887966804979253,0.6970954356846473,0.6597510373443983,0.6473029045643154,0.6937651950551104,0.024488609524620928,12
1.9912540753682455,0.04310953652109476,0.003711875279744466,0.0004734044611232237,0.07,2,200,0.9,"{'learning_rate': 0.07, 'max_depth': 2, 'n_estimators': 200, 'subsample': 0.9}",0.7060041407867494,0.6832298136645962,0.7018633540372671,0.7199170124481328,0.6701244813278008,0.7344398340248963,0.6701244813278008,0.6867219917012448,0.6970954356846473,0.6950207468879668,0.6811594202898551,0.6480331262939959,0.6625258799171843,0.6908713692946058,0.7302904564315352,0.7033195020746889,0.7219917012448133,0.7261410788381742,0.6908713692946058,0.6846473029045643,0.6832298136645962,0.6935817805383023,0.7080745341614907,0.7116182572614108,0.7240663900414938,0.6929460580912863,0.6991701244813278,0.7012448132780082,0.6742738589211619,0.6556016597510373,0.694939992955508,0.02150553543849149,6
1.9335359891255697,0.08812977569690307,0.004062461853027344,0.0004971507176602571,0.07,2,225,0.7,"{'learning_rate': 0.07, 'max_depth': 2, 'n_estimators': 225, 'subsample': 0.7}",0.6997929606625258,0.6935817805383023,0.7080745341614907,0.7240663900414938,0.6618257261410788,0.7302904564315352,0.6804979253112033,0.6991701244813278,0.6970954356846473,0.6825726141078838,0.6853002070393375,0.650103519668737,0.6625258799171843,0.6618257261410788,0.7219917012448133,0.7033195020746889,0.7095435684647303,0.7448132780082988,0.7053941908713693,0.6804979253112033,0.6645962732919255,0.6956521739130435,0.7163561076604554,0.7178423236514523,0.7240663900414938,0.6970954356846473,0.6867219917012448,0.6784232365145229,0.6763485477178424,0.6473029045643154,0.6935562943681293,0.02415417470276476,13
2.2072860956192017,0.17870231831767142,0.004156271616617839,0.00032515074625518126,0.07,2,225,0.8,"{'learning_rate': 0.07, 'max_depth': 2, 'n_estimators': 225, 'subsample': 0.8}",0.6873706004140787,0.6832298136645962,0.7018633540372671,0.7116182572614108,0.6639004149377593,0.7240663900414938,0.6721991701244814,0.6929460580912863,0.6970954356846473,0.6825726141078838,0.6853002070393375,0.6480331262939959,0.6687370600414079,0.6804979253112033,0.7261410788381742,0.7116182572614108,0.7178423236514523,0.7344398340248963,0.6887966804979253,0.6846473029045643,0.6790890269151139,0.7039337474120083,0.7018633540372671,0.7282157676348547,0.7282157676348547,0.6867219917012448,0.6825726141078838,0.7053941908713693,0.6618257261410788,0.6452282157676349,0.6928658768817526,0.023124776103794976,19
2.347325261433919,0.04549041395484235,0.004026381174723307,0.0004654709112703245,0.07,2,225,0.9,"{'learning_rate': 0.07, 'max_depth': 2, 'n_estimators': 225, 'subsample': 0.9}",0.6956521739130435,0.6894409937888198,0.7039337474120083,0.7261410788381742,0.6742738589211619,0.7344398340248963,0.6742738589211619,0.6908713692946058,0.6970954356846473,0.6908713692946058,0.6811594202898551,0.6480331262939959,0.6645962732919255,0.6867219917012448,0.7302904564315352,0.7095435684647303,0.7199170124481328,0.7282157676348547,0.6887966804979253,0.6825726141078838,0.6770186335403726,0.6997929606625258,0.7122153209109731,0.7157676348547718,0.7261410788381742,0.6991701244813278,0.6950207468879668,0.7053941908713693,0.6784232365145229,0.6514522821576764,0.695907894699163,0.022071111025580712,3
2.1887814521789553,0.04600968030323,0.004203192392985026,0.0005033195391421342,0.07,2,250,0.7,"{'learning_rate': 0.07, 'max_depth': 2, 'n_estimators': 250, 'subsample': 0.7}",0.6997929606625258,0.6894409937888198,0.7080745341614907,0.7282157676348547,0.6597510373443983,0.7240663900414938,0.6763485477178424,0.6908713692946058,0.7053941908713693,0.6763485477178424,0.6894409937888198,0.6521739130434783,0.6645962732919255,0.6701244813278008,0.7157676348547718,0.7116182572614108,0.7053941908713693,0.7282157676348547,0.7074688796680498,0.6742738589211619,0.6583850931677019,0.6915113871635611,0.7142857142857143,0.7199170124481328,0.7240663900414938,0.6908713692946058,0.6950207468879668,0.6825726141078838,0.6659751037344398,0.6514522821576764,0.6923812101062686,0.02312526869022916,22
2.4438865105311076,0.05759041890881798,0.004483747482299805,0.0011226377862246768,0.07,2,250,0.8,"{'learning_rate': 0.07, 'max_depth': 2, 'n_estimators': 250, 'subsample': 0.8}",0.6832298136645962,0.6832298136645962,0.6997929606625258,0.7178423236514523,0.6473029045643154,0.7261410788381742,0.6763485477178424,0.6970954356846473,0.6950207468879668,0.6970954356846473,0.6935817805383023,0.6418219461697723,0.6666666666666666,0.6804979253112033,0.7219917012448133,0.7074688796680498,0.7219917012448133,0.7282157676348547,0.7012448132780082,0.6825726141078838,0.6728778467908902,0.7101449275362319,0.6997929606625258,0.7323651452282157,0.7282157676348547,0.6887966804979253,0.6867219917012448,0.6950207468879668,0.6639004149377593,0.6431535269709544,0.6930047621911234,0.024535385804500463,15
2.7071290016174316,0.07131366358030351,0.004302708307902018,0.00045155770474062046,0.07,2,250,0.9,"{'learning_rate': 0.07, 'max_depth': 2, 'n_estimators': 250, 'subsample': 0.9}",0.7039337474120083,0.6894409937888198,0.7039337474120083,0.7261410788381742,0.6784232365145229,0.7323651452282157,0.6825726141078838,0.6825726141078838,0.7053941908713693,0.6867219917012448,0.6790890269151139,0.6480331262939959,0.6666666666666666,0.6825726141078838,0.7344398340248963,0.7012448132780082,0.7116182572614108,0.7344398340248963,0.6991701244813278,0.6887966804979253,0.6770186335403726,0.6997929606625258,0.7204968944099379,0.7199170124481328,0.7302904564315352,0.6908713692946058,0.6929460580912863,0.6991701244813278,0.6867219917012448,0.6473029045643154,0.6967366247719848,0.02263431390199547,1
2.562285884221395,0.055539011591008706,0.004619312286376953,0.0003928979543304236,0.07,3,200,0.7,"{'learning_rate': 0.07, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}",0.6935817805383023,0.6894409937888198,0.6915113871635611,0.7199170124481328,0.6618257261410788,0.7136929460580913,0.6680497925311203,0.7136929460580913,0.6991701244813278,0.6804979253112033,0.6873706004140787,0.660455486542443,0.6790890269151139,0.6784232365145229,0.7219917012448133,0.7033195020746889,0.6929460580912863,0.7095435684647303,0.6970954356846473,0.6804979253112033,0.6708074534161491,0.7122153209109731,0.7204968944099379,0.7033195020746889,0.7302904564315352,0.7033195020746889,0.6908713692946058,0.7012448132780082,0.6659751037344398,0.6535269709543569,0.6931393520785547,0.01988068025245765,14
