0.1
NC1=CC=CC=C1C(=O)O
C1COC2=C(O1)SC(=C1SC3=C(SCCS3)S1)S2
ClC1=C(Cl)C2=C(Cl)C(Cl)=C(Cl)C3=C(Cl)C(Cl)=C(Cl)C1=C23
O=C1NN=C([N+](=O)[O-])N1
C(C=CN1C=CN=C1)=CN1C=CN=C1
O=P(CC1=CC=CN1)(C1=CC=CC=C1)C1=CC=CC=C1
OC1=CC2=CC=CC=C2C=C1O
NC(=O)CC1=CNC2=CC=CC=C12
COC1=CC=C([N+](=O)[O-])C=C1[N+](=O)[O-]
CC(=O)C1=C(N)C(C#N)=C2N=NC(N3N=C(C)C=C3C)=NN12
CC(NC(=O)C1=CC=CC=C1[N+](=O)[O-])C1=CC=CC=C1
ClC1=CC=C(OC2=NC(OC3=CC=C(Cl)C=C3)=NC(OC3=CC=C(Cl)C=C3)=N2)C=C1
CC(C)(O)C#CC1=CC=CC(C#CC(C)(C)O)=N1
BrC1=CC=C(CN2C=NC3=CC=CC=C32)C=C1
CC(=O)NC1=CC=CC(C)=N1
OCCOCCNC1=CC=CC2=C(NCCOCCO)C=CC=C12
CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C2CCC2(C)C(C(C)CCCC(C)C)CCC32)C1
CC1=C2SC(=C3SC4=C(C)N(C5=CC=CC=C5)C(C)=C4S3)SC2=C(C)N1C1=CC=CC=C1
FC1=CC(I)=C(F)C(F)=C1F
CC1=N[N+]([NH-])=NC(C)=C1
NC1=NC=C(C2=CC=C3C=CC=CC3=C2)C=N1
NC(=O)CC(O)C(N)=O
C=CCN(CCC)C(=O)C1=CC(=O)CCC1
C1COCCOCCOCCOCCO1
C1=CNN=C1
NC1=C(Cl)C=C(Cl)C=C1Cl
COC1=CC=C(C2=NN=C(N)S2)C=C1
CCC12COP3(OC1)(OC2)OOO3
NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1
CCNCC
O=C(O)C=CC1=CC=CS1
NS(=O)(=O)C1=CC=CC=C1
CCCC(=O)CCC
CC(C)C1=CC2=CCC3C(C)(CCCC3(C)C(O)(C3=CC=CC=C3)C3=CC=CC=C3)C2CC1
O=C1C(=CC2=CC=NC=C2)CCCC1=CC1=CC=NC=C1
CC(=O)OC(=O)C1=C2C=CC=CC2=CC2=CC=CC=C12
NC1=CC(=O)NC(=O)N1
CC(O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC=C(C#N)C(C(F)(F)F)=C1
C1=CC=C2C(=C1)N1CN3CN(C1)CN2C3
NC1=C(Cl)C=CC=C1Cl
NCC(=O)O
OC(C1=CC=CC=C1)(C1=CC=CC=C1)C1OC2(CCCCC2)OC1C(O)(C1=CC=CC=C1)C1=CC=CC=C1
ClC1CCCCC1Cl
N#CCCCCCNC(=O)NCCCCCC#N
CC1(C)OC(C(O)(C2=CC=CC=C2)C2=CC=CC=C2)C(C(O)(C2=CC=CC=C2)C2=CC=CC=C2)O1
OC1=CC=C2C=CC=CC2=C1
COC(=S)NC1=CC=CC=C1
O=C(C1=CC=CC=C1)C1=CC=C(O)C=C1O
CC1=CC=C(S(=O)(=O)NC(=O)NN2CC3CCCC3C2)C=C1
OC(C1=CC=CC=C1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
C(=CC1=CC=CC=N1)C1=CC=NC=C1
CC1(C)CC(=O)C=C(NC2=NNC(C3=CC=C(Br)C=C3)=C2)C1
N#CC(C#N)=C(C#N)C1=CC=C(C2=CC=C(C3=CC=C(C(C#N)=C(C#N)C#N)S3)N2C2=CC=CC=C2)S1
O=C1C=CC2=NC3=CC4=C(C=C3N(C3=CC=CC=C3)C2=C1)N(C1=CC=CC=C1)C1=CC=CC=C1N4
NC1CCCCCCC1
OC1(C2=CC3=C(C=C(C4(O)C5=CC=CC=C5C5=CC=CC=C54)S3)S2)C2=CC=CC=C2C2=CC=CC=C21
CN1C2=CC=C(C3=CC=C([N+](=O)[O-])C=C3)C=C2C2=CC(C3=CC=C([N+](=O)[O-])C=C3)=CC=C21
CCC(N)=O
CC=C1S(=O)CCS1=O
CC1=CC=C(C(=O)NNC(=O)C2=CC=C(C)C=C2O)C(O)=C1
C1CCCCCCCCCCC1
CC(C)C(NC(=O)OCC1=CC=CC=C1)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(CCC(N)=O)C(=O)OC(C)(C)C
O=C1C2=CC(C#CC(O)(C3=CC=CC=C3)C3=CC=CC=C3)=CC=C2C2=CC=C(C#CC(O)(C3=CC=CC=C3)C3=CC=CC=C3)C=C12
[O-]C1=CC=[NH+]C=C1
C1=CC=C2C(=CC(C3=CC=NC=C3)=C2C2=C(C3=CC=NC=C3)C=C3C=CC=CC=C32)C=C1
BrC1=CNN=C1
CCOC(=O)CNC(C)=O
COC1=CC(CNCC2=C3C=CC=CC3=CC3=CC=CC=C23)=CC(OC)=C1
O=C(O)C1=CC=C2C=C(O)C=CC2=C1
C=CCC#N
CC1=CC2=C(C=C1C)N(CC1=CC=C(Br)C=C1)C=N2
O=C1NC2=CC=C(Cl)C=C2C(C#CC2CC2)(C(F)(F)F)O1
NC1CCC(N)CC1
NC1=C(F)C=C(F)C(N)=C1C(F)(F)F
