toklen
18
35
46
18
26
39
21
24
27
46
38
60
35
32
21
35
64
65
22
18
33
17
28
17
9
19
27
23
38
5
18
21
11
63
38
39
18
63
30
16
8
72
10
23
71
20
19
31
42
43
27
45
76
71
11
75
68
8
16
44
14
84
93
12
66
10
16
49
28
7
38
42
12
29
27
30
50
25
23
72
55
26
21
38
16
23
37
22
60
25
54
23
69
28
84
39
25
28
20
40
9
34
18
46
51
48
38
35
15
22
19
44
30
21
25
34
65
66
43
33
28
75
36
18
37
51
26
28
52
12
33
10
10
11
12
15
9
42
51
41
85
15
8
24
28
41
47
13
18
29
15
42
45
40
35
47
11
6
26
26
8
20
32
35
7
25
34
30
27
15
23
28
40
10
67
84
25
43
18
32
79
31
43
32
57
16
21
15
12
27
22
70
36
31
16
18
50
27
25
61
73
50
31
15
19
22
14
11
40
36
49
22
16
23
24
37
31
22
17
28
50
21
26
71
23
39
48
21
14
18
21
26
30
42
43
30
20
20
33
33
17
83
33
33
25
34
18
35
47
45
40
56
24
47
64
40
45
51
42
33
82
65
23
24
20
42
20
43
20
78
36
17
13
40
15
28
21
14
42
53
70
24
25
18
17
26
12
29
30
33
14
65
27
21
40
66
10
43
34
92
34
40
21
15
39
12
29
24
27
31
50
24
25
53
53
54
18
60
82
28
18
9
55
56
45
38
38
21
33
21
57
15
33
30
12
61
33
13
67
36
12
14
23
27
43
23
59
35
27
14
11
36
22
19
18
31
36
29
39
20
33
44
23
22
45
53
11
35
66
86
50
26
39
14
25
33
21
18
52
39
46
18
35
28
54
34
32
59
15
46
33
34
29
72
53
38
42
26
38
32
37
37
68
47
23
12
35
37
41
55
44
22
16
20
28
56
28
17
66
38
16
45
34
67
41
60
19
40
31
21
12
28
29
25
28
32
33
33
21
35
20
32
25
18
54
39
37
96
20
31
21
51
14
21
26
29
32
29
25
27
30
45
19
18
48
35
18
26
6
24
16
33
28
41
53
30
23
50
47
17
17
24
31
11
51
20
27
44
27
28
39
29
23
8
11
17
26
39
19
27
77
81
35
28
18
28
37
34
12
19
47
69
44
36
13
23
44
19
96
31
27
84
16
30
17
61
36
42
23
10
42
42
48
19
23
92
24
51
18
27
18
26
16
22
40
35
56
86
24
14
26
23
16
60
18
20
11
11
30
23
16
48
36
43
20
11
29
29
18
38
37
10
26
42
25
16
33
16
15
66
57
37
24
37
55
45
91
28
17
39
41
56
4
63
18
55
27
21
30
37
27
19
23
17
38
29
51
53
34
37
30
35
48
23
15
25
40
26
32
43
20
38
16
33
28
66
39
46
26
33
42
24
42
54
27
8
21
32
75
81
21
16
66
36
25
28
15
26
30
71
78
27
15
34
25
6
26
71
26
38
29
34
48
23
19
29
36
55
17
31
30
31
72
21
32
44
59
20
46
28
13
64
13
59
28
15
28
14
65
13
21
51
30
13
21
58
40
51
28
31
90
26
12
27
13
37
9
36
10
51
48
60
25
45
91
27
18
45
88
37
62
15
13
20
29
18
19
28
60
67
53
13
10
53
35
18
38
9
27
26
25
15
16
18
21
20
50
36
61
61
21
32
23
70
42
16
33
11
46
65
24
45
38
40
13
31
12
43
34
32
13
19
84
14
26
27
21
38
36
45
70
16
16
29
69
17
19
96
62
16
28
66
61
51
41
29
24
56
10
48
34
35
34
13
21
39
15
51
24
22
46
44
47
16
30
44
23
20
46
52
83
46
17
18
13
8
22
82
46
20
63
28
43
69
39
22
24
70
74
53
31
16
81
46
48
78
16
24
42
25
16
18
26
22
44
22
48
34
13
51
27
21
40
19
21
16
25
21
41
50
66
15
18
21
18
23
7
29
9
21
10
24
41
39
18
16
39
7
26
34
43
54
39
59
31
27
25
26
29
42
57
33
35
12
37
46
23
27
19
37
30
10
28
14
28
43
48
59
21
48
27
22
5
59
32
17
33
25
30
44
35
11
24
15
21
29
42
63
64
20
40
39
21
34
20
31
14
18
42
39
30
20
30
18
22
23
47
11
40
18
85
36
26
11
77
18
38
38
38
22
31
53
55
42
36
25
31
45
16
91
20
14
43
47
6
14
28
17
18
39
22
28
51
44
37
24
70
22
13
11
47
44
22
22
42
75
22
34
24
44
39
62
10
15
17
17
29
18
22
13
90
48
83
35
74
21
16
36
19
52
53
35
12
57
27
10
31
77
10
9
17
60
21
